Date,Competition Name,Home team,Opponent,Away team,Minute,Score Home Team - When Messi Scored,Score Away Team - When Messi Scored,Goal Type,Goal Method,Final Game Result
 16 - 2 - 2019,Liga,FC Barcelona,Real Valladolid,Real Valladolid,43,1,0,Penalty,Left foot,Won
 13 - 1 - 2019,Liga,FC Barcelona,Eibar,Eibar,53,2,0,Field goal,Left foot,Won
 22 - 12 - 2018,Liga,FC Barcelona,Celta de Vigo,Celta de Vigo,45,2,0,Field goal,Left foot,Won
 20 - 10 - 2018,Liga,FC Barcelona,Sevilla,Sevilla,12,2,0,Field goal,Left foot,Won
 23 - 9 - 2018,Liga,FC Barcelona,Girona,Girona,19,1,0,Field goal,Left foot,Draw
 18 - 8 - 2018,Liga,FC Barcelona,Alaves ,Alaves ,90+2,3,0,Field goal,Left foot,Won
 18 - 8 - 2018,Liga,FC Barcelona,Alaves ,Alaves ,64,1,0,Free kick,Left foot,Won
 9 - 5 - 2018,Liga,FC Barcelona,Villarreal,Villarreal,45,3,0,Field goal,Left foot,Won
 7 - 4 - 2018,Liga,FC Barcelona,Leganes,Leganes,32,2,0,Field goal,Left foot,Won
 7 - 4 - 2018,Liga,FC Barcelona,Leganes,Leganes,27,1,0,Free kick,Left foot,Won
 18 - 3 - 2018,Liga,FC Barcelona,Athletic de Bilbao,Athletic de Bilbao,30,2,0,Field goal,Left foot,Won
 4 - 3 - 2018,Liga,FC Barcelona,Atletico Madrid,Atletico Madrid,26,1,0,Free kick,Left foot,Won
 7 - 1 - 2018,Liga,FC Barcelona,Levante,Levante,12,1,0,Field goal,Left foot,Won
 1 - 10 - 2017,Liga,FC Barcelona,Las Palmas,Las Palmas,77,3,0,Field goal,Left foot,Won
 1 - 10 - 2017,Liga,FC Barcelona,Las Palmas,Las Palmas,71,2,0,Field goal,Left foot,Won
 19 - 9 - 2017,Liga,FC Barcelona,Eibar,Eibar,20,1,0,Penalty,Left foot,Won
 9 - 9 - 2017,Liga,FC Barcelona,Espanyol,Espanyol,67,3,0,Field goal,Left foot,Won
 9 - 9 - 2017,Liga,FC Barcelona,Espanyol,Espanyol,26,1,0,Field goal,Left foot,Won
 26 - 4 - 2017,Liga,FC Barcelona,Osasuna,Osasuna,12,1,0,Field goal,Left foot,Won
 15 - 4 - 2017,Liga,FC Barcelona,Real Sociedad,Real Sociedad,37,2,0,Rebound,Left foot,Won
 15 - 4 - 2017,Liga,FC Barcelona,Real Sociedad,Real Sociedad,17,1,0,Field goal,Left foot,Won
 5 - 4 - 2017,Liga,FC Barcelona,Sevilla,Sevilla,33,3,0,Field goal,Left foot,Won
 4 - 3 - 2017,Liga,FC Barcelona,Celta de Vigo,Celta de Vigo,64,5,0,Solo run,Left foot,Won
 4 - 3 - 2017,Liga,FC Barcelona,Celta de Vigo,Celta de Vigo,24,1,0,Solo run,Left foot,Won
 4 - 2 - 2017,Liga,FC Barcelona,Athletic de Bilbao,Athletic de Bilbao,40,2,0,Free kick,Left foot,Won
 15 - 10 - 2016,Liga,FC Barcelona,Deportivo La Coruna,Deportivo La Coruna,58,4,0,Field goal,Left foot,Won
 8 - 5 - 2016,Liga,FC Barcelona,Espanyol,Espanyol,8,1,0,Free kick,Left foot,Won
 12 - 3 - 2016,Liga,FC Barcelona,Getafe,Getafe,40,4,0,Field goal,Left foot,Won
 14 - 2 - 2016,Liga,FC Barcelona,Celta de Vigo,Celta de Vigo,28,1,0,Free kick,Left foot,Won
 17 - 1 - 2016,Liga,FC Barcelona,Athletic de Bilbao,Athletic de Bilbao,7,1,0,Penalty,Left foot,Won
 9 - 1 - 2016,Liga,FC Barcelona,Granada,Granada,58,3,0,Rebound,Left foot,Won
 9 - 1 - 2016,Liga,FC Barcelona,Granada,Granada,14,2,0,Field goal,Left foot,Won
 9 - 1 - 2016,Liga,FC Barcelona,Granada,Granada,8,1,0,Field goal,Left foot,Won
 12 - 12 - 2015,Liga,FC Barcelona,Deportivo La Coruna,Deportivo La Coruna,39,1,0,Free kick,Left foot,Draw
 28 - 11 - 2015,Liga,FC Barcelona,Real Sociedad,Real Sociedad,90+1,4,0,Field goal,Left foot,Won
 20 - 9 - 2015,Liga,FC Barcelona,Levante,Levante,61,3,0,Penalty,Left foot,Won
 28 - 4 - 2015,Liga,FC Barcelona,Getafe,Getafe,47,6,0,,Left foot,Won
 28 - 4 - 2015,Liga,FC Barcelona,Getafe,Getafe,9,1,0,Penalty,Left foot,Won
 18 - 4 - 2015,Liga,FC Barcelona,Valencia,Valencia,90+4,2,0,Rebound,Left foot,Won
 8 - 4 - 2015,Liga,FC Barcelona,UD Almeria,UD Almeria,33,1,0,Solo run,Left foot,Won
 8 - 3 - 2015,Liga,FC Barcelona,Rayo Vallecano,Rayo Vallecano,68,5,0,,Left foot,Won
 8 - 3 - 2015,Liga,FC Barcelona,Rayo Vallecano,Rayo Vallecano,63,4,0,Rebound,Left foot,Won
 8 - 3 - 2015,Liga,FC Barcelona,Rayo Vallecano,Rayo Vallecano,56,3,0,Penalty,Left foot,Won
 15 - 2 - 2015,Liga,FC Barcelona,Levante,Levante,65,4,0,Penalty,Left foot,Won
 22 - 11 - 2014,Liga,FC Barcelona,Sevilla,Sevilla,21,1,0,Free kick,Left foot,Won
 18 - 10 - 2014,Liga,FC Barcelona,Eibar,Eibar,74,3,0,,Left foot,Won
 24 - 8 - 2014,Liga,FC Barcelona,Elche,Elche,63,3,0,,Left foot,Won
 24 - 8 - 2014,Liga,FC Barcelona,Elche,Elche,42,1,0,,Left foot,Won
 3 - 5 - 2014,Liga,FC Barcelona,Getafe,Getafe,23,1,0,,Left foot,Draw
 5 - 4 - 2014,Liga,FC Barcelona,Real Betis,Real Betis,15,1,0,Penalty,Left foot,Won
 16 - 3 - 2014,Liga,FC Barcelona,Osasuna,Osasuna,63,4,0,,Left foot,Won
 16 - 3 - 2014,Liga,FC Barcelona,Osasuna,Osasuna,18,1,0,,Left foot,Won
 2 - 3 - 2014,Liga,FC Barcelona,UD Almeria,UD Almeria,24,2,0,Free kick,Left foot,Won
 15 - 2 - 2014,Liga,FC Barcelona,Rayo Vallecano,Rayo Vallecano,68,5,0,,Left foot,Won
 15 - 2 - 2014,Liga,FC Barcelona,Rayo Vallecano,Rayo Vallecano,36,2,0,,Left foot,Won
 14 - 9 - 2013,Liga,FC Barcelona,Sevilla,Sevilla,75,2,0,,Left foot,Won
 18 - 8 - 2013,Liga,FC Barcelona,Levante,Levante,42,5,0,Penalty,Left foot,Won
 18 - 8 - 2013,Liga,FC Barcelona,Levante,Levante,12,2,0,,Left foot,Won
 17 - 3 - 2013,Liga,FC Barcelona,Rayo Vallecano,Rayo Vallecano,57,3,0,,Left foot,Won
 17 - 3 - 2013,Liga,FC Barcelona,Rayo Vallecano,Rayo Vallecano,40,2,0,,Left foot,Won
 9 - 3 - 2013,Liga,FC Barcelona,Deportivo La Coruna,Deportivo La Coruna,88,2,0,,Left foot,Won
 10 - 2 - 2013,Liga,FC Barcelona,Getafe,Getafe,13,2,0,,Left foot,Won
 6 - 1 - 2013,Liga,FC Barcelona,Espanyol,Espanyol,29,4,0,Penalty,Left foot,Won
 1 - 12 - 2012,Liga,FC Barcelona,Athletic de Bilbao,Athletic de Bilbao,25,2,0,,Left foot,Won
 17 - 11 - 2012,Liga,FC Barcelona,Real Zaragoza,Real Zaragoza,16,1,0,,Left foot,Won
 5 - 5 - 2012,Liga,FC Barcelona,Espanyol,Espanyol,79,4,0,Penalty,Left foot,Won
 5 - 5 - 2012,Liga,FC Barcelona,Espanyol,Espanyol,74,3,0,,Left foot,Won
 5 - 5 - 2012,Liga,FC Barcelona,Espanyol,Espanyol,64,2,0,Penalty,Left foot,Won
 5 - 5 - 2012,Liga,FC Barcelona,Espanyol,Espanyol,12,1,0,Free kick,Left foot,Won
 10 - 4 - 2012,Liga,FC Barcelona,Getafe,Getafe,44,2,0,,Left foot,Won
 31 - 3 - 2012,Liga,FC Barcelona,Athletic de Bilbao,Athletic de Bilbao,58,2,0,Penalty,Left foot,Won
 20 - 3 - 2012,Liga,FC Barcelona,Granada,Granada,17,2,0,Field goal,Left foot,Won
 4 - 2 - 2012,Liga,FC Barcelona,Real Sociedad,Real Sociedad,72,2,0,,Left foot,Won
 15 - 1 - 2012,Liga,FC Barcelona,Real Betis,Real Betis,12,2,0,,Left foot,Won
 3 - 12 - 2011,Liga,FC Barcelona,Levante,Levante,55,4,0,,Left foot,Won
 29 - 11 - 2011,Liga,FC Barcelona,Rayo Vallecano,Rayo Vallecano,50,4,0,,Left foot,Won
 29 - 10 - 2011,Liga,FC Barcelona,Real Mallorca,Real Mallorca,30,3,0,,Left foot,Won
 29 - 10 - 2011,Liga,FC Barcelona,Real Mallorca,Real Mallorca,13,1,0,Penalty,Left foot,Won
 24 - 9 - 2011,Liga,FC Barcelona,Atletico Madrid,Atletico Madrid,90+1,5,0,,Left foot,Won
 24 - 9 - 2011,Liga,FC Barcelona,Atletico Madrid,Atletico Madrid,78,4,0,,Left foot,Won
 24 - 9 - 2011,Liga,FC Barcelona,Atletico Madrid,Atletico Madrid,26,3,0,,Left foot,Won
 17 - 9 - 2011,Liga,FC Barcelona,Osasuna,Osasuna,79,8,0,,Left foot,Won
 17 - 9 - 2011,Liga,FC Barcelona,Osasuna,Osasuna,41,5,0,,Left foot,Won
 17 - 9 - 2011,Liga,FC Barcelona,Osasuna,Osasuna,5,1,0,,Left foot,Won
 29 - 8 - 2011,Liga,FC Barcelona,Villarreal,Villarreal,75,5,0,,Left foot,Won
 5 - 2 - 2011,Liga,FC Barcelona,Atletico Madrid,Atletico Madrid,79,3,0,Rebound,Left foot,Won
 5 - 2 - 2011,Liga,FC Barcelona,Atletico Madrid,Atletico Madrid,28,2,0,,Left foot,Won
 5 - 2 - 2011,Liga,FC Barcelona,Atletico Madrid,Atletico Madrid,17,1,0,,Left foot,Won
 22 - 1 - 2011,Liga,FC Barcelona,Racing Santander,Racing Santander,33,2,0,Penalty,Left foot,Won
 12 - 12 - 2010,Liga,FC Barcelona,Real Sociedad,Real Sociedad,87,4,0,Solo run,Left foot,Won
 12 - 12 - 2010,Liga,FC Barcelona,Real Sociedad,Real Sociedad,47,3,0,,Left foot,Won
 30 - 10 - 2010,Liga,FC Barcelona,Sevilla,Sevilla,64,4,0,Solo run,Left foot,Won
 30 - 10 - 2010,Liga,FC Barcelona,Sevilla,Sevilla,4,1,0,Rebound,Left foot,Won
 3 - 10 - 2010,Liga,FC Barcelona,Real Mallorca,Real Mallorca,21,1,0,,Left foot,Draw
 16 - 5 - 2010,Liga,FC Barcelona,Real Valladolid,Real Valladolid,76,4,0,,Left foot,Won
 3 - 4 - 2010,Liga,FC Barcelona,Athletic de Bilbao,Athletic de Bilbao,67,4,0,,Left foot,Won
 14 - 3 - 2010,Liga,FC Barcelona,Valencia,Valencia,81,2,0,,Left foot,Won
 14 - 3 - 2010,Liga,FC Barcelona,Valencia,Valencia,56,1,0,,Left foot,Won
 6 - 2 - 2010,Liga,FC Barcelona,Getafe,Getafe,7,1,0,,Left foot,Won
 16 - 1 - 2010,Liga,FC Barcelona,Sevilla,Sevilla,90+1,4,0,,Left foot,Won
 16 - 1 - 2010,Liga,FC Barcelona,Sevilla,Sevilla,85,3,0,,Left foot,Won
 19 - 9 - 2009,Liga,FC Barcelona,Atletico Madrid,Atletico Madrid,16,2,0,,Left foot,Won
 7 - 3 - 2009,Liga,FC Barcelona,Athletic de Bilbao,Athletic de Bilbao,32,2,0,Penalty,Left foot,Won
 24 - 1 - 2009,Liga,FC Barcelona,Numancia,Numancia,49,1,0,,Left foot,Won
 17 - 1 - 2009,Liga,FC Barcelona,Deportivo La Coruna,Deportivo La Coruna,21,1,0,,Left foot,Won
 13 - 12 - 2008,Liga,FC Barcelona,Real Madrid,Real Madrid,90+1,2,0,,Left foot,Won
